state_abbr,year,lfp_sa
OR,2019,61.49166666666667
PA,2010,63.15
PA,2011,63.00833333333333
PA,2012,63.43333333333334
PA,2013,63.01666666666667
PA,2014,62.6
PA,2015,62.89166666666667
PA,2016,63.15
PA,2017,62.675000000000004
PA,2018,62.675000000000004
PA,2019,63.1
RI,2010,67.78333333333333
RI,2011,66.61666666666666
RI,2012,66.10000000000001
RI,2013,65.68333333333334
RI,2014,65.19166666666666
RI,2015,64.8
RI,2016,64.41666666666667
RI,2017,64.47500000000001
RI,2018,64.45
RI,2019,64.35833333333333
SC,2010,60.71666666666667
SC,2011,60.34166666666667
SC,2012,59.824999999999996
SC,2013,59.300000000000004
SC,2014,59.1
SC,2015,59.28333333333333
SC,2016,58.775
SC,2017,58.166666666666664
SC,2018,57.94166666666666
SC,2019,58.333333333333336
SD,2010,71.47500000000001
SD,2011,71.04166666666667
SD,2012,70.30833333333334
SD,2013,69.78333333333333
SD,2014,69.78333333333333
SD,2015,69.80833333333334
SD,2016,69.625
SD,2017,69.33333333333333
SD,2018,69.28333333333333
SD,2019,69.51666666666667
TN,2010,62.78333333333333
TN,2011,62.699999999999996
TN,2012,61.78333333333333
TN,2013,60.93333333333334
TN,2014,59.71666666666667
TN,2015,59.666666666666664
TN,2016,60.10833333333333
TN,2017,60.416666666666664
TN,2018,60.958333333333336
TN,2019,61.84166666666667
TX,2010,65.95833333333333
TX,2011,65.85833333333333
TX,2012,65.425
TX,2013,65.16666666666667
TX,2014,64.825
TX,2015,63.800000000000004
TX,2016,63.76666666666667
TX,2017,63.75833333333333
TX,2018,63.949999999999996
TX,2019,63.96666666666666
UT,2010,68.825
UT,2011,67.60000000000001
UT,2012,66.72500000000001
UT,2013,67.29166666666667
UT,2014,67.59166666666667
UT,2015,68.04166666666667
UT,2016,68.5
UT,2017,68.85000000000001
UT,2018,68.54166666666667
UT,2019,68.5
VT,2010,70.76666666666667
VT,2011,69.95
VT,2012,69.20833333333333
VT,2013,68.35000000000001
VT,2014,67.9
VT,2015,67.33333333333333
VT,2016,67.16666666666667
VT,2017,67.18333333333334
VT,2018,66.925
VT,2019,66.33333333333333
VA,2010,67.40833333333333
VA,2011,67.125
VA,2012,66.61666666666666
VA,2013,66.34166666666667
VA,2014,65.99166666666666
VA,2015,65.0
VA,2016,64.875
VA,2017,65.425
VA,2018,65.38333333333334
VA,2019,65.69166666666666
